Dept,MarkDown5,MarkDown1,Fuel_Price,MarkDown4,MarkDown3,Store,CPI,Temperature,IsHoliday,Size,Type,Unemployment,MarkDown2,Date
80,7293.87,7282.07,3.801,1048.83,416.15,13,131.0287742,62.39,False,219622,A,5.965,,2012-05-25
81,7293.87,7282.07,3.801,1048.83,416.15,13,131.0287742,62.39,False,219622,A,5.965,,2012-05-25
82,7293.87,7282.07,3.801,1048.83,416.15,13,131.0287742,62.39,False,219622,A,5.965,,2012-05-25
83,7293.87,7282.07,3.801,1048.83,416.15,13,131.0287742,62.39,False,219622,A,5.965,,2012-05-25
85,7293.87,7282.07,3.801,1048.83,416.15,13,131.0287742,62.39,False,219622,A,5.965,,2012-05-25
87,7293.87,7282.07,3.801,1048.83,416.15,13,131.0287742,62.39,False,219622,A,5.965,,2012-05-25
90,7293.87,7282.07,3.801,1048.83,416.15,13,131.0287742,62.39,False,219622,A,5.965,,2012-05-25
91,7293.87,7282.07,3.801,1048.83,416.15,13,131.0287742,62.39,False,219622,A,5.965,,2012-05-25
92,7293.87,7282.07,3.801,1048.83,416.15,13,131.0287742,62.39,False,219622,A,5.965,,2012-05-25
93,7293.87,7282.07,3.801,1048.83,416.15,13,131.0287742,62.39,False,219622,A,5.965,,2012-05-25
94,7293.87,7282.07,3.801,1048.83,416.15,13,131.0287742,62.39,False,219622,A,5.965,,2012-05-25
95,7293.87,7282.07,3.801,1048.83,416.15,13,131.0287742,62.39,False,219622,A,5.965,,2012-05-25
96,7293.87,7282.07,3.801,1048.83,416.15,13,131.0287742,62.39,False,219622,A,5.965,,2012-05-25
97,7293.87,7282.07,3.801,1048.83,416.15,13,131.0287742,62.39,False,219622,A,5.965,,2012-05-25
98,7293.87,7282.07,3.801,1048.83,416.15,13,131.0287742,62.39,False,219622,A,5.965,,2012-05-25
1,6276.31,8868.86,3.788,3793.73,37.87,13,130.9592258,61.11,False,219622,A,5.965,123.0,2012-06-01
2,6276.31,8868.86,3.788,3793.73,37.87,13,130.9592258,61.11,False,219622,A,5.965,123.0,2012-06-01
3,6276.31,8868.86,3.788,3793.73,37.87,13,130.9592258,61.11,False,219622,A,5.965,123.0,2012-06-01
4,6276.31,8868.86,3.788,3793.73,37.87,13,130.9592258,61.11,False,219622,A,5.965,123.0,2012-06-01
5,6276.31,8868.86,3.788,3793.73,37.87,13,130.9592258,61.11,False,219622,A,5.965,123.0,2012-06-01
6,6276.31,8868.86,3.788,3793.73,37.87,13,130.9592258,61.11,False,219622,A,5.965,123.0,2012-06-01
7,6276.31,8868.86,3.788,3793.73,37.87,13,130.9592258,61.11,False,219622,A,5.965,123.0,2012-06-01
8,6276.31,8868.86,3.788,3793.73,37.87,13,130.9592258,61.11,False,219622,A,5.965,123.0,2012-06-01
9,6276.31,8868.86,3.788,3793.73,37.87,13,130.9592258,61.11,False,219622,A,5.965,123.0,2012-06-01
10,6276.31,8868.86,3.788,3793.73,37.87,13,130.9592258,61.11,False,219622,A,5.965,123.0,2012-06-01
11,6276.31,8868.86,3.788,3793.73,37.87,13,130.9592258,61.11,False,219622,A,5.965,123.0,2012-06-01
12,6276.31,8868.86,3.788,3793.73,37.87,13,130.9592258,61.11,False,219622,A,5.965,123.0,2012-06-01
13,6276.31,8868.86,3.788,3793.73,37.87,13,130.9592258,61.11,False,219622,A,5.965,123.0,2012-06-01
14,6276.31,8868.86,3.788,3793.73,37.87,13,130.9592258,61.11,False,219622,A,5.965,123.0,2012-06-01
16,6276.31,8868.86,3.788,3793.73,37.87,13,130.9592258,61.11,False,219622,A,5.965,123.0,2012-06-01
17,6276.31,8868.86,3.788,3793.73,37.87,13,130.9592258,61.11,False,219622,A,5.965,123.0,2012-06-01
18,6276.31,8868.86,3.788,3793.73,37.87,13,130.9592258,61.11,False,219622,A,5.965,123.0,2012-06-01
19,6276.31,8868.86,3.788,3793.73,37.87,13,130.9592258,61.11,False,219622,A,5.965,123.0,2012-06-01
20,6276.31,8868.86,3.788,3793.73,37.87,13,130.9592258,61.11,False,219622,A,5.965,123.0,2012-06-01
21,6276.31,8868.86,3.788,3793.73,37.87,13,130.9592258,61.11,False,219622,A,5.965,123.0,2012-06-01
22,6276.31,8868.86,3.788,3793.73,37.87,13,130.9592258,61.11,False,219622,A,5.965,123.0,2012-06-01
23,6276.31,8868.86,3.788,3793.73,37.87,13,130.9592258,61.11,False,219622,A,5.965,123.0,2012-06-01
24,6276.31,8868.86,3.788,3793.73,37.87,13,130.9592258,61.11,False,219622,A,5.965,123.0,2012-06-01
25,6276.31,8868.86,3.788,3793.73,37.87,13,130.9592258,61.11,False,219622,A,5.965,123.0,2012-06-01
26,6276.31,8868.86,3.788,3793.73,37.87,13,130.9592258,61.11,False,219622,A,5.965,123.0,2012-06-01
27,6276.31,8868.86,3.788,3793.73,37.87,13,130.9592258,61.11,False,219622,A,5.965,123.0,2012-06-01
28,6276.31,8868.86,3.788,3793.73,37.87,13,130.9592258,61.11,False,219622,A,5.965,123.0,2012-06-01
29,6276.31,8868.86,3.788,3793.73,37.87,13,130.9592258,61.11,False,219622,A,5.965,123.0,2012-06-01
30,6276.31,8868.86,3.788,3793.73,37.87,13,130.9592258,61.11,False,219622,A,5.965,123.0,2012-06-01
31,6276.31,8868.86,3.788,3793.73,37.87,13,130.9592258,61.11,False,219622,A,5.965,123.0,2012-06-01
32,6276.31,8868.86,3.788,3793.73,37.87,13,130.9592258,61.11,False,219622,A,5.965,123.0,2012-06-01
33,6276.31,8868.86,3.788,3793.73,37.87,13,130.9592258,61.11,False,219622,A,5.965,123.0,2012-06-01
34,6276.31,8868.86,3.788,3793.73,37.87,13,130.9592258,61.11,False,219622,A,5.965,123.0,2012-06-01
35,6276.31,8868.86,3.788,3793.73,37.87,13,130.9592258,61.11,False,219622,A,5.965,123.0,2012-06-01
36,6276.31,8868.86,3.788,3793.73,37.87,13,130.9592258,61.11,False,219622,A,5.965,123.0,2012-06-01
37,6276.31,8868.86,3.788,3793.73,37.87,13,130.9592258,61.11,False,219622,A,5.965,123.0,2012-06-01
38,6276.31,8868.86,3.788,3793.73,37.87,13,130.9592258,61.11,False,219622,A,5.965,123.0,2012-06-01
40,6276.31,8868.86,3.788,3793.73,37.87,13,130.9592258,61.11,False,219622,A,5.965,123.0,2012-06-01
41,6276.31,8868.86,3.788,3793.73,37.87,13,130.9592258,61.11,False,219622,A,5.965,123.0,2012-06-01
42,6276.31,8868.86,3.788,3793.73,37.87,13,130.9592258,61.11,False,219622,A,5.965,123.0,2012-06-01
44,6276.31,8868.86,3.788,3793.73,37.87,13,130.9592258,61.11,False,219622,A,5.965,123.0,2012-06-01
46,6276.31,8868.86,3.788,3793.73,37.87,13,130.9592258,61.11,False,219622,A,5.965,123.0,2012-06-01
48,6276.31,8868.86,3.788,3793.73,37.87,13,130.9592258,61.11,False,219622,A,5.965,123.0,2012-06-01
49,6276.31,8868.86,3.788,3793.73,37.87,13,130.9592258,61.11,False,219622,A,5.965,123.0,2012-06-01
50,6276.31,8868.86,3.788,3793.73,37.87,13,130.9592258,61.11,False,219622,A,5.965,123.0,2012-06-01
52,6276.31,8868.86,3.788,3793.73,37.87,13,130.9592258,61.11,False,219622,A,5.965,123.0,2012-06-01
54,6276.31,8868.86,3.788,3793.73,37.87,13,130.9592258,61.11,False,219622,A,5.965,123.0,2012-06-01
55,6276.31,8868.86,3.788,3793.73,37.87,13,130.9592258,61.11,False,219622,A,5.965,123.0,2012-06-01
56,6276.31,8868.86,3.788,3793.73,37.87,13,130.9592258,61.11,False,219622,A,5.965,123.0,2012-06-01
58,6276.31,8868.86,3.788,3793.73,37.87,13,130.9592258,61.11,False,219622,A,5.965,123.0,2012-06-01
59,6276.31,8868.86,3.788,3793.73,37.87,13,130.9592258,61.11,False,219622,A,5.965,123.0,2012-06-01
60,6276.31,8868.86,3.788,3793.73,37.87,13,130.9592258,61.11,False,219622,A,5.965,123.0,2012-06-01
67,6276.31,8868.86,3.788,3793.73,37.87,13,130.9592258,61.11,False,219622,A,5.965,123.0,2012-06-01
71,6276.31,8868.86,3.788,3793.73,37.87,13,130.9592258,61.11,False,219622,A,5.965,123.0,2012-06-01
72,6276.31,8868.86,3.788,3793.73,37.87,13,130.9592258,61.11,False,219622,A,5.965,123.0,2012-06-01
74,6276.31,8868.86,3.788,3793.73,37.87,13,130.9592258,61.11,False,219622,A,5.965,123.0,2012-06-01
79,6276.31,8868.86,3.788,3793.73,37.87,13,130.9592258,61.11,False,219622,A,5.965,123.0,2012-06-01
80,6276.31,8868.86,3.788,3793.73,37.87,13,130.9592258,61.11,False,219622,A,5.965,123.0,2012-06-01
81,6276.31,8868.86,3.788,3793.73,37.87,13,130.9592258,61.11,False,219622,A,5.965,123.0,2012-06-01
82,6276.31,8868.86,3.788,3793.73,37.87,13,130.9592258,61.11,False,219622,A,5.965,123.0,2012-06-01
83,6276.31,8868.86,3.788,3793.73,37.87,13,130.9592258,61.11,False,219622,A,5.965,123.0,2012-06-01
85,6276.31,8868.86,3.788,3793.73,37.87,13,130.9592258,61.11,False,219622,A,5.965,123.0,2012-06-01
87,6276.31,8868.86,3.788,3793.73,37.87,13,130.9592258,61.11,False,219622,A,5.965,123.0,2012-06-01
90,6276.31,8868.86,3.788,3793.73,37.87,13,130.9592258,61.11,False,219622,A,5.965,123.0,2012-06-01
91,6276.31,8868.86,3.788,3793.73,37.87,13,130.9592258,61.11,False,219622,A,5.965,123.0,2012-06-01
92,6276.31,8868.86,3.788,3793.73,37.87,13,130.9592258,61.11,False,219622,A,5.965,123.0,2012-06-01
93,6276.31,8868.86,3.788,3793.73,37.87,13,130.9592258,61.11,False,219622,A,5.965,123.0,2012-06-01
94,6276.31,8868.86,3.788,3793.73,37.87,13,130.9592258,61.11,False,219622,A,5.965,123.0,2012-06-01
95,6276.31,8868.86,3.788,3793.73,37.87,13,130.9592258,61.11,False,219622,A,5.965,123.0,2012-06-01
96,6276.31,8868.86,3.788,3793.73,37.87,13,130.9592258,61.11,False,219622,A,5.965,123.0,2012-06-01
97,6276.31,8868.86,3.788,3793.73,37.87,13,130.9592258,61.11,False,219622,A,5.965,123.0,2012-06-01
98,6276.31,8868.86,3.788,3793.73,37.87,13,130.9592258,61.11,False,219622,A,5.965,123.0,2012-06-01
1,8952.93,12461.96,3.776,1450.62,254.19,13,130.8896774,68.4,False,219622,A,5.965,406.6,2012-06-08
2,8952.93,12461.96,3.776,1450.62,254.19,13,130.8896774,68.4,False,219622,A,5.965,406.6,2012-06-08
3,8952.93,12461.96,3.776,1450.62,254.19,13,130.8896774,68.4,False,219622,A,5.965,406.6,2012-06-08
4,8952.93,12461.96,3.776,1450.62,254.19,13,130.8896774,68.4,False,219622,A,5.965,406.6,2012-06-08
5,8952.93,12461.96,3.776,1450.62,254.19,13,130.8896774,68.4,False,219622,A,5.965,406.6,2012-06-08
6,8952.93,12461.96,3.776,1450.62,254.19,13,130.8896774,68.4,False,219622,A,5.965,406.6,2012-06-08
7,8952.93,12461.96,3.776,1450.62,254.19,13,130.8896774,68.4,False,219622,A,5.965,406.6,2012-06-08
8,8952.93,12461.96,3.776,1450.62,254.19,13,130.8896774,68.4,False,219622,A,5.965,406.6,2012-06-08
9,8952.93,12461.96,3.776,1450.62,254.19,13,130.8896774,68.4,False,219622,A,5.965,406.6,2012-06-08
10,8952.93,12461.96,3.776,1450.62,254.19,13,130.8896774,68.4,False,219622,A,5.965,406.6,2012-06-08
11,8952.93,12461.96,3.776,1450.62,254.19,13,130.8896774,68.4,False,219622,A,5.965,406.6,2012-06-08
12,8952.93,12461.96,3.776,1450.62,254.19,13,130.8896774,68.4,False,219622,A,5.965,406.6,2012-06-08
13,8952.93,12461.96,3.776,1450.62,254.19,13,130.8896774,68.4,False,219622,A,5.965,406.6,2012-06-08
14,8952.93,12461.96,3.776,1450.62,254.19,13,130.8896774,68.4,False,219622,A,5.965,406.6,2012-06-08
16,8952.93,12461.96,3.776,1450.62,254.19,13,130.8896774,68.4,False,219622,A,5.965,406.6,2012-06-08
17,8952.93,12461.96,3.776,1450.62,254.19,13,130.8896774,68.4,False,219622,A,5.965,406.6,2012-06-08
18,8952.93,12461.96,3.776,1450.62,254.19,13,130.8896774,68.4,False,219622,A,5.965,406.6,2012-06-08
19,8952.93,12461.96,3.776,1450.62,254.19,13,130.8896774,68.4,False,219622,A,5.965,406.6,2012-06-08
20,8952.93,12461.96,3.776,1450.62,254.19,13,130.8896774,68.4,False,219622,A,5.965,406.6,2012-06-08
21,8952.93,12461.96,3.776,1450.62,254.19,13,130.8896774,68.4,False,219622,A,5.965,406.6,2012-06-08
22,8952.93,12461.96,3.776,1450.62,254.19,13,130.8896774,68.4,False,219622,A,5.965,406.6,2012-06-08
23,8952.93,12461.96,3.776,1450.62,254.19,13,130.8896774,68.4,False,219622,A,5.965,406.6,2012-06-08
24,8952.93,12461.96,3.776,1450.62,254.19,13,130.8896774,68.4,False,219622,A,5.965,406.6,2012-06-08
25,8952.93,12461.96,3.776,1450.62,254.19,13,130.8896774,68.4,False,219622,A,5.965,406.6,2012-06-08
26,8952.93,12461.96,3.776,1450.62,254.19,13,130.8896774,68.4,False,219622,A,5.965,406.6,2012-06-08
27,8952.93,12461.96,3.776,1450.62,254.19,13,130.8896774,68.4,False,219622,A,5.965,406.6,2012-06-08
28,8952.93,12461.96,3.776,1450.62,254.19,13,130.8896774,68.4,False,219622,A,5.965,406.6,2012-06-08
29,8952.93,12461.96,3.776,1450.62,254.19,13,130.8896774,68.4,False,219622,A,5.965,406.6,2012-06-08
30,8952.93,12461.96,3.776,1450.62,254.19,13,130.8896774,68.4,False,219622,A,5.965,406.6,2012-06-08
31,8952.93,12461.96,3.776,1450.62,254.19,13,130.8896774,68.4,False,219622,A,5.965,406.6,2012-06-08
32,8952.93,12461.96,3.776,1450.62,254.19,13,130.8896774,68.4,False,219622,A,5.965,406.6,2012-06-08
33,8952.93,12461.96,3.776,1450.62,254.19,13,130.8896774,68.4,False,219622,A,5.965,406.6,2012-06-08
34,8952.93,12461.96,3.776,1450.62,254.19,13,130.8896774,68.4,False,219622,A,5.965,406.6,2012-06-08
35,8952.93,12461.96,3.776,1450.62,254.19,13,130.8896774,68.4,False,219622,A,5.965,406.6,2012-06-08
36,8952.93,12461.96,3.776,1450.62,254.19,13,130.8896774,68.4,False,219622,A,5.965,406.6,2012-06-08
37,8952.93,12461.96,3.776,1450.62,254.19,13,130.8896774,68.4,False,219622,A,5.965,406.6,2012-06-08
38,8952.93,12461.96,3.776,1450.62,254.19,13,130.8896774,68.4,False,219622,A,5.965,406.6,2012-06-08
40,8952.93,12461.96,3.776,1450.62,254.19,13,130.8896774,68.4,False,219622,A,5.965,406.6,2012-06-08
41,8952.93,12461.96,3.776,1450.62,254.19,13,130.8896774,68.4,False,219622,A,5.965,406.6,2012-06-08
42,8952.93,12461.96,3.776,1450.62,254.19,13,130.8896774,68.4,False,219622,A,5.965,406.6,2012-06-08
44,8952.93,12461.96,3.776,1450.62,254.19,13,130.8896774,68.4,False,219622,A,5.965,406.6,2012-06-08
46,8952.93,12461.96,3.776,1450.62,254.19,13,130.8896774,68.4,False,219622,A,5.965,406.6,2012-06-08
48,8952.93,12461.96,3.776,1450.62,254.19,13,130.8896774,68.4,False,219622,A,5.965,406.6,2012-06-08
49,8952.93,12461.96,3.776,1450.62,254.19,13,130.8896774,68.4,False,219622,A,5.965,406.6,2012-06-08
50,8952.93,12461.96,3.776,1450.62,254.19,13,130.8896774,68.4,False,219622,A,5.965,406.6,2012-06-08
52,8952.93,12461.96,3.776,1450.62,254.19,13,130.8896774,68.4,False,219622,A,5.965,406.6,2012-06-08
54,8952.93,12461.96,3.776,1450.62,254.19,13,130.8896774,68.4,False,219622,A,5.965,406.6,2012-06-08
55,8952.93,12461.96,3.776,1450.62,254.19,13,130.8896774,68.4,False,219622,A,5.965,406.6,2012-06-08
56,8952.93,12461.96,3.776,1450.62,254.19,13,130.8896774,68.4,False,219622,A,5.965,406.6,2012-06-08
58,8952.93,12461.96,3.776,1450.62,254.19,13,130.8896774,68.4,False,219622,A,5.965,406.6,2012-06-08
59,8952.93,12461.96,3.776,1450.62,254.19,13,130.8896774,68.4,False,219622,A,5.965,406.6,2012-06-08
60,8952.93,12461.96,3.776,1450.62,254.19,13,130.8896774,68.4,False,219622,A,5.965,406.6,2012-06-08
67,8952.93,12461.96,3.776,1450.62,254.19,13,130.8896774,68.4,False,219622,A,5.965,406.6,2012-06-08
71,8952.93,12461.96,3.776,1450.62,254.19,13,130.8896774,68.4,False,219622,A,5.965,406.6,2012-06-08
72,8952.93,12461.96,3.776,1450.62,254.19,13,130.8896774,68.4,False,219622,A,5.965,406.6,2012-06-08
74,8952.93,12461.96,3.776,1450.62,254.19,13,130.8896774,68.4,False,219622,A,5.965,406.6,2012-06-08
79,8952.93,12461.96,3.776,1450.62,254.19,13,130.8896774,68.4,False,219622,A,5.965,406.6,2012-06-08
80,8952.93,12461.96,3.776,1450.62,254.19,13,130.8896774,68.4,False,219622,A,5.965,406.6,2012-06-08
81,8952.93,12461.96,3.776,1450.62,254.19,13,130.8896774,68.4,False,219622,A,5.965,406.6,2012-06-08
82,8952.93,12461.96,3.776,1450.62,254.19,13,130.8896774,68.4,False,219622,A,5.965,406.6,2012-06-08
83,8952.93,12461.96,3.776,1450.62,254.19,13,130.8896774,68.4,False,219622,A,5.965,406.6,2012-06-08
85,8952.93,12461.96,3.776,1450.62,254.19,13,130.8896774,68.4,False,219622,A,5.965,406.6,2012-06-08
87,8952.93,12461.96,3.776,1450.62,254.19,13,130.8896774,68.4,False,219622,A,5.965,406.6,2012-06-08
90,8952.93,12461.96,3.776,1450.62,254.19,13,130.8896774,68.4,False,219622,A,5.965,406.6,2012-06-08
91,8952.93,12461.96,3.776,1450.62,254.19,13,130.8896774,68.4,False,219622,A,5.965,406.6,2012-06-08
92,8952.93,12461.96,3.776,1450.62,254.19,13,130.8896774,68.4,False,219622,A,5.965,406.6,2012-06-08
93,8952.93,12461.96,3.776,1450.62,254.19,13,130.8896774,68.4,False,219622,A,5.965,406.6,2012-06-08
94,8952.93,12461.96,3.776,1450.62,254.19,13,130.8896774,68.4,False,219622,A,5.965,406.6,2012-06-08
95,8952.93,12461.96,3.776,1450.62,254.19,13,130.8896774,68.4,False,219622,A,5.965,406.6,2012-06-08
96,8952.93,12461.96,3.776,1450.62,254.19,13,130.8896774,68.4,False,219622,A,5.965,406.6,2012-06-08
97,8952.93,12461.96,3.776,1450.62,254.19,13,130.8896774,68.4,False,219622,A,5.965,406.6,2012-06-08
98,8952.93,12461.96,3.776,1450.62,254.19,13,130.8896774,68.4,False,219622,A,5.965,406.6,2012-06-08
99,8952.93,12461.96,3.776,1450.62,254.19,13,130.8896774,68.4,False,219622,A,5.965,406.6,2012-06-08
1,6331.52,8819.8,3.756,3496.08,0.22,13,130.8295333,65.97,False,219622,A,5.965,416.5,2012-06-15
2,6331.52,8819.8,3.756,3496.08,0.22,13,130.8295333,65.97,False,219622,A,5.965,416.5,2012-06-15
3,6331.52,8819.8,3.756,3496.08,0.22,13,130.8295333,65.97,False,219622,A,5.965,416.5,2012-06-15
4,6331.52,8819.8,3.756,3496.08,0.22,13,130.8295333,65.97,False,219622,A,5.965,416.5,2012-06-15
5,6331.52,8819.8,3.756,3496.08,0.22,13,130.8295333,65.97,False,219622,A,5.965,416.5,2012-06-15
6,6331.52,8819.8,3.756,3496.08,0.22,13,130.8295333,65.97,False,219622,A,5.965,416.5,2012-06-15
7,6331.52,8819.8,3.756,3496.08,0.22,13,130.8295333,65.97,False,219622,A,5.965,416.5,2012-06-15
8,6331.52,8819.8,3.756,3496.08,0.22,13,130.8295333,65.97,False,219622,A,5.965,416.5,2012-06-15
9,6331.52,8819.8,3.756,3496.08,0.22,13,130.8295333,65.97,False,219622,A,5.965,416.5,2012-06-15
10,6331.52,8819.8,3.756,3496.08,0.22,13,130.8295333,65.97,False,219622,A,5.965,416.5,2012-06-15
11,6331.52,8819.8,3.756,3496.08,0.22,13,130.8295333,65.97,False,219622,A,5.965,416.5,2012-06-15
12,6331.52,8819.8,3.756,3496.08,0.22,13,130.8295333,65.97,False,219622,A,5.965,416.5,2012-06-15
13,6331.52,8819.8,3.756,3496.08,0.22,13,130.8295333,65.97,False,219622,A,5.965,416.5,2012-06-15
14,6331.52,8819.8,3.756,3496.08,0.22,13,130.8295333,65.97,False,219622,A,5.965,416.5,2012-06-15
16,6331.52,8819.8,3.756,3496.08,0.22,13,130.8295333,65.97,False,219622,A,5.965,416.5,2012-06-15
17,6331.52,8819.8,3.756,3496.08,0.22,13,130.8295333,65.97,False,219622,A,5.965,416.5,2012-06-15
18,6331.52,8819.8,3.756,3496.08,0.22,13,130.8295333,65.97,False,219622,A,5.965,416.5,2012-06-15
19,6331.52,8819.8,3.756,3496.08,0.22,13,130.8295333,65.97,False,219622,A,5.965,416.5,2012-06-15
20,6331.52,8819.8,3.756,3496.08,0.22,13,130.8295333,65.97,False,219622,A,5.965,416.5,2012-06-15
21,6331.52,8819.8,3.756,3496.08,0.22,13,130.8295333,65.97,False,219622,A,5.965,416.5,2012-06-15
22,6331.52,8819.8,3.756,3496.08,0.22,13,130.8295333,65.97,False,219622,A,5.965,416.5,2012-06-15
23,6331.52,8819.8,3.756,3496.08,0.22,13,130.8295333,65.97,False,219622,A,5.965,416.5,2012-06-15
24,6331.52,8819.8,3.756,3496.08,0.22,13,130.8295333,65.97,False,219622,A,5.965,416.5,2012-06-15
25,6331.52,8819.8,3.756,3496.08,0.22,13,130.8295333,65.97,False,219622,A,5.965,416.5,2012-06-15
26,6331.52,8819.8,3.756,3496.08,0.22,13,130.8295333,65.97,False,219622,A,5.965,416.5,2012-06-15
27,6331.52,8819.8,3.756,3496.08,0.22,13,130.8295333,65.97,False,219622,A,5.965,416.5,2012-06-15
28,6331.52,8819.8,3.756,3496.08,0.22,13,130.8295333,65.97,False,219622,A,5.965,416.5,2012-06-15
29,6331.52,8819.8,3.756,3496.08,0.22,13,130.8295333,65.97,False,219622,A,5.965,416.5,2012-06-15
30,6331.52,8819.8,3.756,3496.08,0.22,13,130.8295333,65.97,False,219622,A,5.965,416.5,2012-06-15
31,6331.52,8819.8,3.756,3496.08,0.22,13,130.8295333,65.97,False,219622,A,5.965,416.5,2012-06-15
32,6331.52,8819.8,3.756,3496.08,0.22,13,130.8295333,65.97,False,219622,A,5.965,416.5,2012-06-15
33,6331.52,8819.8,3.756,3496.08,0.22,13,130.8295333,65.97,False,219622,A,5.965,416.5,2012-06-15
34,6331.52,8819.8,3.756,3496.08,0.22,13,130.8295333,65.97,False,219622,A,5.965,416.5,2012-06-15
35,6331.52,8819.8,3.756,3496.08,0.22,13,130.8295333,65.97,False,219622,A,5.965,416.5,2012-06-15
